District,HASC
Sirsa,IN.HR.SI
Sitamarhi,IN.BR.ST
Sitapur,IN.UP.SI
Sivaganga,IN.TN.SI
Siwan,IN.BR.SW
Solan,IN.HP.SO
Solapur,IN.MH.SO
Sonbhadra,IN.UP.SO
Sonepat,IN.HR.SO
Sonepur,IN.OR.SO
Sonitpur,IN.AS.ST
South,IN.DL.SU
South Andaman,IN.AN.SA
South East,IN.DL.SS
South Garo Hills,IN.ML.SG
South Goa,IN.GA.SG
South Salmara-Mankachar,IN.AS.SM
South Sikkim,IN.SK.SS
South Tripura,IN.TR.SO
South West,IN.DL.SW
South West Garo Hills,IN.ML.GS
South West Khasi Hills,IN.ML.KS
Srikakulam,IN.AD.SR
Srinagar,IN.JK.SN
Sukma,IN.CT.SK
Sultanpur,IN.UP.SL
Sundargarh,IN.OR.SU
Supaul,IN.BR.SU
Surajpur,IN.CT.SP
Surat,IN.GJ.SR
Surendranagar,IN.GJ.SD
Surguja,IN.CT.SG
Tamenglong,IN.MN.TA
Tapi,IN.GJ.TP
Tarn Taran,IN.PB.TT
Tawang,IN.AR.TA
Tehri Garhwal,IN.UT.TG
Thane,IN.MH.TN
Thanjavur,IN.TN.TJ
The Dangs,IN.GJ.DG
Theni,IN.TN.TH
Thiruvallur,IN.TN.TL
Thiruvananthapuram,IN.KL.TV
Thiruvarur,IN.TN.TR
Thoothukudi,IN.TN.TK
Thoubal,IN.MN.TH
Thrissur,IN.KL.TS
Tikamgarh,IN.MP.TI
Tinsukia,IN.AS.TI
Tirap,IN.AR.TI
Tiruchirappalli,IN.TN.TC
Tirunelveli,IN.TN.TI
Tiruppur,IN.TN.TP
Tiruvannamalai,IN.TN.TV
Tonk,IN.RJ.TO
Tuensang,IN.NL.TS
Tumkur,IN.KA.TU
24 Parganas North,IN.WB.PN
24 Parganas South,IN.WB.PS
Udaipur,IN.RJ.UP
Udalguri,IN.AS.UD
Udhampur,IN.JK.UM
Udham Singh Nagar,IN.UT.US
Udupi,IN.KA.UD
Ujjain,IN.MP.UJ
Ukhrul,IN.MN.UK
Umaria,IN.MP.UM
Una,IN.HP.UN
Unakoti,IN.TR.UK
Unnao,IN.UP.UN
Upper Dibang Valley,IN.AR.DU
Upper Siang,IN.AR.US
Upper Subansiri,IN.AR.UB
Uttara Kannada,IN.KA.UK
Uttar Dinajpur,IN.WB.UD
Uttarkashi,IN.UT.UT
Vadodara,IN.GJ.VA
Vaishali,IN.BR.VA
Valsad,IN.GJ.VL
Varanasi,IN.UP.VA
Vellore,IN.TN.VE
Vidisha,IN.MP.VI
Villupuram,IN.TN.VL
Virudhunagar,IN.TN.VR
Vishakhapatnam,IN.AD.VS
Vizianagaram,IN.AD.VZ
Warangal,IN.TG.WA
Wardha,IN.MH.WR
Washim,IN.MH.WS
Wayanad,IN.KL.WA
West,IN.DL.WE
West Champaran,IN.BR.WC
West Garo Hills,IN.ML.GW
West Godavari,IN.AD.WG
West Imphal,IN.MN.WI
West Jaintia Hills,IN.ML.JW
West Kameng,IN.AR.WK
West Karbi Anglong,IN.AS.WK
West Khasi Hills,IN.ML.KW
West Nimar,IN.MP.WN
West Siang,IN.AR.WS
West Sikkim,IN.SK.WS
West Tripura,IN.TR.WE
Wokha,IN.NL.WO
Yadgir,IN.KA.YD
