State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019,Population_2011,size_group
Gujarat,Narmada,38.0,38.0,47.0,6464.0,19105.0,111625.0,33074.0,284673.0,590297.0,1.0
Gujarat,Navsari,197.0,172.0,117.0,35437.0,91812.0,950329.0,146018.0,10242802.0,1329672.0,2.0
Gujarat,Panch Mahals,235.0,202.0,181.0,32263.0,81863.0,482875.0,129831.0,1082462.0,,
Gujarat,Patan,213.0,383.0,193.0,41580.0,101323.0,753192.0,164027.0,1831000.0,1343734.0,2.0
Gujarat,Porbandar,44.0,69.0,56.0,12401.0,28860.0,107297.0,45383.0,263333.0,585449.0,1.0
Gujarat,Rajkot,967.0,792.0,523.0,133017.0,304415.0,1378378.0,469636.0,3592205.0,3804558.0,4.0
Gujarat,Sabar Kantha,334.0,262.0,207.0,45018.0,109651.0,614843.0,174426.0,1576764.0,2428589.0,4.0
Gujarat,Surat,2179.0,2390.0,3520.0,489852.0,1180819.0,6419303.0,1772703.0,15766654.0,6081322.0,4.0
Gujarat,Surendranagar,144.0,170.0,135.0,38223.0,95904.0,478906.0,154610.0,1128776.0,1756268.0,3.0
Gujarat,Tapi,82.0,64.0,46.0,14231.0,39195.0,183846.0,65634.0,471040.0,807022.0,2.0
Gujarat,The Dangs,8.0,13.0,5.0,2285.0,6307.0,37424.0,10877.0,98556.0,228291.0,1.0
Gujarat,Vadodara,1420.0,1042.0,904.0,205722.0,502520.0,2737728.0,763969.0,8689295.0,4165626.0,4.0
Gujarat,Valsad,313.0,254.0,185.0,80138.0,209477.0,1213084.0,330053.0,3225136.0,1705678.0,3.0
Haryana,Ambala,595.0,651.0,772.0,54127.0,136012.0,846268.0,215379.0,2422404.0,1128350.0,2.0
Haryana,Bhiwani,449.0,573.0,498.0,57585.0,132014.0,767305.0,208228.0,1834101.0,1634445.0,3.0
Haryana,Charkhi Dadri,214.0,254.0,152.0,14712.0,35788.0,194565.0,59348.0,492736.0,,
Haryana,Faridabad,3187.0,3630.0,3107.0,231504.0,634024.0,4550896.0,935992.0,17603559.0,1809733.0,3.0
Haryana,Fatehabad,344.0,453.0,422.0,48955.0,101001.0,648747.0,152969.0,1114604.0,942011.0,2.0
Haryana,Gurugram,6461.0,6472.0,5995.0,474081.0,1159832.0,10830246.0,1700505.0,43890172.0,1514432.0,3.0
Haryana,Hisar,1178.0,1305.0,1106.0,113872.0,245236.0,1462651.0,382469.0,3830063.0,1743931.0,3.0
Haryana,Jhajjar,611.0,829.0,749.0,53121.0,139799.0,815855.0,230059.0,2838136.0,958405.0,2.0
Haryana,Jind,858.0,842.0,724.0,51815.0,121923.0,718916.0,190347.0,1627516.0,1334152.0,2.0
Haryana,Kaithal,649.0,942.0,772.0,41222.0,97311.0,601879.0,151832.0,1379137.0,1074304.0,2.0
Haryana,Karnal,1359.0,1554.0,1247.0,73612.0,177042.0,1032850.0,283270.0,3675005.0,1505324.0,3.0
Haryana,Kurukshetra,742.0,845.0,846.0,47932.0,115295.0,719668.0,184817.0,2202584.0,964655.0,2.0
Haryana,Mahendragarh,466.0,553.0,539.0,45460.0,109746.0,566586.0,181158.0,1891292.0,922088.0,2.0
Haryana,Mewat,483.0,455.0,553.0,29541.0,92292.0,556874.0,176392.0,2252872.0,,
Haryana,Palwal,1075.0,906.0,770.0,48774.0,141953.0,783636.0,233542.0,3795498.0,1042708.0,2.0
Haryana,Panchkula,336.0,472.0,392.0,41867.0,105044.0,625696.0,160534.0,1746370.0,561293.0,1.0
Haryana,Panipat,1503.0,1647.0,1218.0,74739.0,181548.0,1209053.0,293916.0,4298198.0,1205437.0,2.0
Haryana,Rewari,784.0,987.0,971.0,85350.0,207051.0,1348820.0,323001.0,4626749.0,900332.0,2.0
Haryana,Rohtak,1468.0,1518.0,1461.0,62452.0,147392.0,843737.0,231317.0,4258276.0,1061204.0,2.0
Haryana,Sirsa,614.0,904.0,662.0,70800.0,146936.0,912516.0,219623.0,1708159.0,1295189.0,2.0
Haryana,Sonipat,1119.0,1324.0,917.0,79638.0,199593.0,1176714.0,325111.0,4022703.0,1450001.0,2.0
Haryana,Yamunanagar,853.0,855.0,978.0,46198.0,111935.0,630430.0,178961.0,1536973.0,1214205.0,2.0
Himachal Pradesh,Bilaspur,42.0,52.0,25.0,11975.0,32537.0,141973.0,54024.0,345193.0,2663629.0,4.0
Himachal Pradesh,Chamba,14.0,8.0,20.0,8678.0,27481.0,205216.0,50169.0,366977.0,519080.0,1.0
Himachal Pradesh,Hamirpur,24.0,32.0,16.0,15614.0,44206.0,208538.0,73945.0,722511.0,1104285.0,2.0
Himachal Pradesh,Kangra,75.0,76.0,59.0,39016.0,115120.0,470811.0,205367.0,1427704.0,1510075.0,3.0
Himachal Pradesh,Kinnaur,5.0,0.0,5.0,2684.0,8251.0,47023.0,13910.0,125755.0,84121.0,1.0
Himachal Pradesh,Kullu,35.0,34.0,33.0,15318.0,43436.0,169024.0,74668.0,571811.0,437903.0,1.0
Himachal Pradesh,Lahul & Spiti,0.0,0.0,2.0,487.0,1307.0,3096.0,2252.0,9589.0,31564.0,1.0
Himachal Pradesh,Mandi,56.0,57.0,42.0,26238.0,72963.0,286849.0,124971.0,1008044.0,999777.0,2.0
Himachal Pradesh,Shimla,82.0,140.0,71.0,28214.0,80651.0,402953.0,139890.0,2766965.0,814010.0,2.0
Himachal Pradesh,Sirmaur,56.0,87.0,50.0,15880.0,47638.0,292230.0,77972.0,647665.0,529855.0,1.0
