State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Assam,Kheri,265.0,41.0,8143.0,183.0,28.0,31154.0,192588.0,340.0,47.0,56008.0,418535.0,205.0,35.0,146560.0,4180336.0,129.0,32.0,174858.0,13730059.0
Assam,Kokrajhar,310.0,32.0,6566.0,263.0,31.0,21029.0,137341.0,273.0,27.0,36818.0,286233.0,214.0,37.0,100303.0,3963142.0,130.0,29.0,119832.0,13328889.0
Assam,Majuli,16.0,0.0,1274.0,14.0,4.0,4861.0,35075.0,15.0,7.0,8656.0,68943.0,18.0,4.0,22458.0,500316.0,17.0,2.0,26866.0,1295946.0
Assam,Morigaon,257.0,42.0,0.0,389.0,35.0,0.0,0.0,353.0,37.0,0.0,0.0,273.0,30.0,0.0,0.0,222.0,25.0,0.0,0.0
Assam,Nagaon,718.0,68.0,19619.0,728.0,78.0,66306.0,749827.0,744.0,70.0,129371.0,1043342.0,569.0,58.0,330283.0,11108665.0,525.0,49.0,392625.0,36512506.0
Assam,Nalbari,274.0,14.0,6874.0,263.0,24.0,24925.0,148121.0,260.0,16.0,44217.0,313556.0,254.0,19.0,111929.0,3033131.0,249.0,20.0,132565.0,9840971.0
Assam,Sonitpur,419.0,54.0,18986.0,501.0,46.0,62218.0,416370.0,399.0,56.0,105050.0,946185.0,261.0,62.0,258067.0,10804767.0,232.0,47.0,304871.0,26400219.0
Assam,Tamulpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15.0,0.0,0.0,36.0,8.0,0.0,0.0
Assam,Tinsukia,745.0,56.0,15998.0,672.0,57.0,51108.0,326051.0,709.0,60.0,86763.0,716548.0,666.0,59.0,219077.0,5947438.0,278.0,60.0,259521.0,16890376.0
Assam,Udalguri,197.0,23.0,4768.0,157.0,33.0,19336.0,134268.0,225.0,35.0,35735.0,255166.0,107.0,25.0,95812.0,3191238.0,85.0,25.0,114587.0,8963542.0
Bihar,Araria,342.0,47.0,30576.0,401.0,61.0,95297.0,617576.0,530.0,62.0,168149.0,1379411.0,752.0,82.0,456566.0,24823208.0,825.0,74.0,537719.0,74081291.0
Bihar,Arwal,131.0,11.0,11087.0,163.0,9.0,32098.0,245956.0,218.0,18.0,51903.0,631699.0,169.0,16.0,125818.0,5266281.0,178.0,18.0,148277.0,12976538.0
Bihar,Banka,212.0,64.0,19504.0,255.0,75.0,62041.0,308399.0,355.0,59.0,108516.0,742828.0,317.0,53.0,284021.0,11883649.0,423.0,52.0,335304.0,29964733.0
Bihar,Begusarai,567.0,88.0,57409.0,601.0,118.0,155497.0,889100.0,643.0,100.0,251505.0,2050279.0,653.0,110.0,608446.0,28081739.0,812.0,87.0,713349.0,73600597.0
Bihar,Bhagalpur,987.0,75.0,76063.0,890.0,65.0,195057.0,1322527.0,993.0,71.0,311744.0,2864737.0,1406.0,96.0,752449.0,40919750.0,1287.0,62.0,884051.0,85883784.0
Bihar,Bhojpur,647.0,87.0,50363.0,818.0,111.0,143568.0,855146.0,868.0,90.0,230828.0,2011687.0,1322.0,100.0,556334.0,19666712.0,1286.0,98.0,654621.0,54553169.0
Bihar,Buxar,486.0,44.0,27689.0,557.0,59.0,81116.0,464483.0,542.0,50.0,133361.0,1096970.0,536.0,37.0,324669.0,11736101.0,594.0,47.0,382288.0,31157279.0
Bihar,Chhatrapati Sambhajinagar,208.0,40.0,42349.0,284.0,49.0,123845.0,896125.0,412.0,59.0,204230.0,2275859.0,829.0,79.0,499993.0,24280686.0,823.0,67.0,589768.0,65930944.0
Bihar,Darbhanga,553.0,36.0,74414.0,568.0,64.0,202521.0,1469109.0,734.0,71.0,332707.0,3353507.0,1074.0,64.0,824935.0,41797002.0,985.0,60.0,967610.0,101510194.0
Bihar,Gaya,1423.0,167.0,91015.0,1440.0,148.0,245773.0,2200582.0,1544.0,150.0,398678.0,4848181.0,2148.0,144.0,946050.0,45287741.0,2109.0,102.0,1110224.0,121217182.0
Bihar,Gopalganj,354.0,69.0,41306.0,436.0,83.0,125180.0,790613.0,611.0,70.0,221572.0,1998947.0,878.0,61.0,571551.0,28953201.0,878.0,39.0,672897.0,75014869.0
Bihar,Jamui,116.0,49.0,23266.0,161.0,53.0,70521.0,383181.0,240.0,68.0,122675.0,1228761.0,307.0,41.0,309995.0,14982421.0,325.0,46.0,365481.0,39725176.0
