State,District,Theft_2017,Murder_2017,Cruelty_2017,Theft_2018,Murder_2018,Cruelty_2018,Theft_2019,Murder_2019,Cruelty_2019,Theft_2022,Murder_2022,Cruelty_2022,Theft_2023,Murder_2023,Cruelty_2023
Bihar,Muzaffarpur Railway,302.0,11.0,1.0,430.0,3.0,0.0,383.0,9.0,0.0,465.0,4.0,0.0,722.0,6.0,0.0
Bihar,Nalanda,847.0,95.0,107.0,798.0,85.0,58.0,905.0,113.0,84.0,1218.0,75.0,89.0,1476.0,99.0,72.0
Bihar,Naugachia,115.0,32.0,23.0,117.0,26.0,17.0,187.0,20.0,8.0,243.0,43.0,8.0,212.0,28.0,19.0
Bihar,Nawadah,374.0,56.0,54.0,523.0,53.0,47.0,587.0,64.0,41.0,694.0,66.0,25.0,752.0,54.0,35.0
Bihar,Patna,4926.0,266.0,447.0,5931.0,277.0,220.0,6896.0,318.0,295.0,8341.0,307.0,228.0,9843.0,290.0,292.0
Bihar,Patna Railway,519.0,2.0,0.0,704.0,19.0,0.0,1144.0,19.0,0.0,889.0,4.0,0.0,1741.0,9.0,0.0
Bihar,Purnea,500.0,91.0,41.0,442.0,80.0,23.0,636.0,113.0,44.0,1343.0,80.0,45.0,1497.0,75.0,47.0
Bihar,Rohtas,1108.0,100.0,108.0,1149.0,96.0,93.0,1189.0,86.0,68.0,1069.0,62.0,41.0,1394.0,105.0,59.0
Bihar,Saharsa,363.0,44.0,75.0,358.0,42.0,56.0,477.0,40.0,31.0,519.0,37.0,19.0,497.0,46.0,23.0
Bihar,Samastipur,527.0,65.0,51.0,636.0,83.0,49.0,721.0,89.0,58.0,1067.0,101.0,48.0,916.0,85.0,60.0
Bihar,Saran,1214.0,119.0,78.0,1318.0,103.0,125.0,1414.0,95.0,121.0,1899.0,108.0,96.0,1833.0,114.0,91.0
Bihar,Sheikhpura,105.0,16.0,19.0,160.0,17.0,16.0,137.0,21.0,14.0,234.0,14.0,19.0,216.0,26.0,3.0
Bihar,Sheohar,49.0,12.0,19.0,73.0,14.0,15.0,70.0,11.0,7.0,83.0,12.0,14.0,69.0,9.0,5.0
Bihar,Sitamarhi,575.0,68.0,183.0,855.0,77.0,110.0,855.0,73.0,154.0,864.0,62.0,112.0,1180.0,70.0,81.0
Bihar,Siwan,714.0,71.0,148.0,905.0,81.0,42.0,969.0,111.0,41.0,1324.0,94.0,34.0,1388.0,65.0,34.0
Bihar,Supaul,313.0,47.0,65.0,314.0,52.0,51.0,347.0,53.0,37.0,530.0,42.0,15.0,484.0,60.0,27.0
Bihar,Vaishali,1243.0,100.0,114.0,1426.0,119.0,70.0,1653.0,153.0,53.0,1434.0,117.0,60.0,1420.0,114.0,67.0
